Total_Stops,Price,Dept_time_hrs,Dept_time_mins,Journey_Day,Journey_month,Journey_year,Arrival_time_hrs,Arrival_time_mins,duration_hours,duration_minutes,Arrival_Date_day,Arrival_Date_month,Arrival_Date_year,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
0,3383,11,10,6,5,2019,13,55,2,45,6,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,13062,9,0,21,3,2019,21,0,12,0,21,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3527,5,45,24,3,2019,8,35,2,50,24,3,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,3943,4,0,27,5,2019,6,50,2,50,27,5,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4667,11,40,3,5,2019,13,55,2,15,3,5,2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,6117,19,0,15,5,2019,11,5,16,5,16,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,11150,23,5,27,6,2019,19,0,19,55,28,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,7202,11,0,9,3,2019,14,15,3,15,9,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12121,9,35,1,5,2019,10,55,1,20,1,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4377,22,20,24,3,2019,1,10,2,50,25,3,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3943,21,15,18,6,2019,0,15,3,0,19,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4483,23,55,3,4,2019,2,45,2,50,4,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,14231,19,45,24,3,2019,12,0,16,15,25,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,17345,8,50,1,3,2019,23,55,15,5,1,3,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,7414,7,5,6,3,2019,9,20,2,15,6,3,2019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,8073,19,0,6,5,2019,1,30,6,30,7,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12395,15,40,6,3,2019,16,45,1,5,6,3,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,8366,9,25,6,6,2019,21,50,12,25,6,6,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5117,6,5,3,4,2019,9,25,3,20,3,4,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12524,8,45,3,6,2019,19,0,10,15,3,6,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7191,15,0,15,5,2019,1,30,10,30,16,5,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3687,7,5,24,5,2019,9,20,2,15,24,5,2019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,5894,10,35,24,6,2019,21,0,10,25,24,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,5403,9,45,24,4,2019,12,35,2,50,24,4,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3625,13,55,6,5,2019,15,25,1,30,6,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,10861,5,55,21,5,2019,19,15,13,20,21,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6297,13,20,12,3,2019,15,35,2,15,12,3,2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,5678,7,5,1,6,2019,8,30,1,25,1,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,9134,5,45,9,3,2019,8,15,2,30,9,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10791,11,40,24,6,2019,19,0,7,20,24,6,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,12819,23,5,24,6,2019,12,35,13,30,25,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6893,5,5,21,3,2019,10,5,5,0,21,3,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,7240,9,50,9,3,2019,12,35,2,45,9,3,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3898,11,40,3,4,2019,14,30,2,50,3,4,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4049,6,25,3,4,2019,7,55,1,30,3,4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,10262,17,30,15,6,2019,12,35,19,5,16,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3332,8,20,21,3,2019,10,35,2,15,21,3,2019,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,10844,21,10,9,6,2019,12,0,14,50,10,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,7229,19,55,24,3,2019,22,35,2,40,24,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,13941,6,30,6,5,2019,4,40,22,10,7,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5894,11,25,27,6,2019,21,0,9,35,27,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10197,9,0,18,5,2019,19,0,10,0,18,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13712,14,5,6,3,2019,11,25,21,20,7,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5636,2,0,24,6,2019,7,25,5,25,24,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13014,9,40,6,6,2019,4,25,18,45,7,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7064,8,25,1,4,2019,20,45,12,20,1,4,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,10703,20,25,24,5,2019,14,25,18,0,25,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,9646,13,15,27,5,2019,22,30,9,15,27,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,17057,2,15,6,3,2019,13,20,11,5,6,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13817,16,55,12,3,2019,10,25,17,30,13,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,13748,5,55,6,3,2019,19,15,13,20,6,3,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4880,20,45,21,4,2019,23,20,2,35,21,4,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3540,5,15,21,6,2019,7,40,2,25,21,6,2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,3257,5,55,15,5,2019,8,35,2,40,15,5,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,6478,19,50,3,6,2019,22,50,3,0,3,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,8040,7,5,18,6,2019,8,30,1,25,18,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,14300,20,0,12,6,2019,12,35,16,35,13,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,14781,8,25,15,5,2019,20,45,12,20,15,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14939,20,0,9,6,2019,8,15,12,15,10,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,10262,20,55,24,6,2019,4,25,7,30,25,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6528,14,35,12,5,2019,14,35,0,0,12,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,6121,6,10,1,5,2019,8,55,2,45,1,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,13029,19,30,18,5,2019,4,25,8,55,19,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,11421,11,40,27,3,2019,18,50,7,10,27,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7574,4,45,27,3,2019,19,15,14,30,27,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,11596,12,55,9,5,2019,19,15,6,20,9,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,15129,23,5,24,5,2019,19,0,19,55,25,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13555,14,5,18,3,2019,5,5,15,0,19,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5780,18,55,12,4,2019,21,50,2,55,12,4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,9397,20,20,12,5,2019,9,5,12,45,13,5,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,17024,18,15,6,3,2019,4,25,10,10,7,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5281,7,0,27,6,2019,12,55,5,55,27,6,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10348,7,5,18,5,2019,22,30,15,25,18,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12677,17,20,6,3,2019,9,25,16,5,7,3,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,15147,15,25,3,3,2019,1,35,10,10,4,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4668,7,0,12,6,2019,9,40,2,40,12,6,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,15554,7,5,9,5,2019,19,0,11,55,9,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3971,5,55,9,4,2019,8,35,2,40,9,4,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,3100,15,0,3,5,2019,16,25,1,25,3,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,9663,20,0,6,5,2019,10,5,14,5,7,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3540,5,15,12,5,2019,7,40,2,25,12,5,2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,10676,12,0,21,5,2019,11,10,23,10,22,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13044,14,5,12,6,2019,8,15,18,10,13,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14388,20,0,6,5,2019,12,0,16,0,7,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3943,4,0,24,6,2019,6,50,2,50,24,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3597,14,45,3,6,2019,17,5,2,20,3,6,2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,5932,11,50,21,3,2019,19,50,8,0,21,3,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10262,11,30,15,6,2019,4,25,16,55,16,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6216,14,40,12,5,2019,17,50,3,10,12,5,2019,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,4804,20,25,15,6,2019,23,10,2,45,15,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14067,11,30,21,5,2019,1,30,14,0,22,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,15129,19,10,18,5,2019,19,0,23,50,19,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13376,6,45,6,6,2019,4,25,21,40,7,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,10441,22,0,27,6,2019,19,15,21,15,28,6,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4030,6,0,24,5,2019,8,45,2,45,24,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,17024,8,0,3,3,2019,18,50,10,50,3,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13017,17,30,9,4,2019,1,30,8,0,10,4,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6686,23,30,6,6,2019,7,45,8,15,7,6,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5636,2,0,15,6,2019,7,25,5,25,15,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6442,7,35,9,6,2019,16,10,8,35,9,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9486,13,5,21,5,2019,0,55,11,50,22,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10844,20,0,21,5,2019,23,35,3,35,21,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,15318,20,0,3,6,2019,4,25,8,25,4,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5117,12,30,3,4,2019,9,25,20,55,4,4,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6147,15,10,24,6,2019,20,0,4,50,24,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7005,12,50,9,6,2019,21,0,8,10,9,6,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3873,22,20,3,4,2019,0,40,2,20,4,4,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,9270,18,25,21,3,2019,18,50,0,25,21,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3898,11,40,27,6,2019,14,30,2,50,27,6,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,14781,8,25,12,5,2019,20,45,12,20,12,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,8586,20,0,24,5,2019,8,15,12,15,25,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,10697,8,20,9,5,2019,7,55,23,35,10,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,14300,20,0,27,6,2019,12,35,16,35,28,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,8855,18,55,3,3,2019,21,45,2,50,3,3,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10844,16,30,12,5,2019,18,15,1,45,12,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,17024,2,15,6,3,2019,4,25,2,10,6,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9314,9,35,1,5,2019,14,25,4,50,1,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4777,0,40,24,3,2019,3,25,2,45,24,3,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7662,12,0,9,6,2019,13,15,1,15,9,6,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6442,6,50,9,5,2019,16,10,9,20,9,5,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5264,8,45,12,6,2019,13,15,4,30,12,6,2019,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,12898,13,0,27,5,2019,4,25,15,25,28,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6092,13,55,3,3,2019,15,25,1,30,3,3,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,3311,5,55,21,5,2019,8,35,2,40,21,5,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,6540,19,15,27,3,2019,4,25,9,10,28,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3419,1,30,27,5,2019,4,15,2,45,27,5,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5177,14,0,3,4,2019,12,35,22,35,4,4,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,8246,18,5,18,4,2019,21,10,3,5,18,4,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,14676,9,35,9,6,2019,21,5,11,30,9,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13587,11,30,27,6,2019,21,0,9,30,27,6,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9663,21,10,6,5,2019,9,20,12,10,7,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13044,16,30,12,6,2019,10,5,17,35,13,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5073,20,25,3,4,2019,1,30,5,5,4,4,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9345,17,0,21,5,2019,18,50,1,50,21,5,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,9663,14,5,6,5,2019,10,5,20,0,7,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14277,8,0,21,5,2019,21,0,13,0,21,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10262,10,0,1,6,2019,4,25,18,25,2,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,5678,19,35,27,3,2019,21,5,1,30,27,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,13727,16,0,15,5,2019,1,30,9,30,16,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9663,20,0,6,5,2019,12,0,16,0,7,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3858,14,45,12,5,2019,17,5,2,20,12,5,2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,4812,8,45,24,6,2019,13,15,4,30,24,6,2019,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,5775,21,50,27,6,2019,3,35,5,45,28,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10539,9,35,6,6,2019,9,45,0,10,6,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4804,15,30,3,6,2019,18,5,2,35,3,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
